span,bf_size,sample_count
102,52928,1
105,70448,1
107,85240,1
109,103136,1
110,113448,2
111,124792,1
112,137272,3
113,151000,2
114,166104,2
115,182712,3
116,200984,3
117,221080,4
118,243184,8
119,267504,5
120,294256,7
121,323680,7
122,356048,16
123,391656,13
124,430816,15
125,473896,18
126,521288,27
127,573416,32
128,630760,27
129,693832,44
130,763216,53
131,839536,61
132,923488,73
133,1015840,63
134,1117424,81
135,1229168,105
136,1352080,115
137,1487288,144
138,1636016,196
139,1799624,198
140,1979584,236
141,2177544,260
142,2395296,289
143,2634824,353
144,2898304,399
145,3188136,443
146,3506952,493
147,3857648,600
148,4243408,652
149,4667752,749
150,5134528,858
151,5647976,969
152,6212776,1057
153,6834048,1285
154,7517456,1445
155,8269200,1607
156,9096120,1803
157,10005736,2058
158,11006304,2243
159,12106936,2407
160,13317632,2705
161,14649392,3122
162,16114328,3332
163,17725768,3675
164,19498344,4080
165,21448176,4472
166,23592992,5004
167,25952288,5373
168,28547520,5796
169,31402272,6372
170,34542496,6993
171,37996744,7497
172,41796424,8316
173,45976064,8857
174,50573672,9713
175,55631032,10548
176,61194136,11320
177,67313552,11879
178,74044904,12615
179,81449400,13678
180,89594336,14550
181,98553768,15289
182,108409144,16411
183,119250064,17384
184,131175072,18198
185,144292576,19343
186,158721832,20366
187,174594016,21361
188,192053416,22182
189,211258760,23304
190,232384632,24304
191,255623096,25460
192,281185408,26381
193,309303944,27614
194,340234336,28428
195,374257776,29036
196,411683552,29988
197,452851904,31066
198,498137096,31846
199,547950808,32259
200,602745888,33018
201,663020472,33712
202,729322520,34253
203,802254768,35181
204,882480248,35675
205,970728272,35528
206,1067801096,36012
207,1174581208,36312
208,1292039328,36636
209,1421243264,36564
210,1563367584,36553
211,1719704344,36833
212,1891674784,36318
213,2080842256,36450
214,2288926488,35560
215,2517819136,35421
216,2769601048,34974
217,3046561152,34554
218,3351217264,33918
219,3686338992,33145
220,4054972888,32604
221,4460470176,32189
222,4906517192,31242
223,5397168912,30393
224,5936885808,29338
225,6530574384,28496
226,7183631824,27718
227,7901995008,26829
228,8692194504,25229
229,9561413960,24834
230,10517555352,23608
231,11569310888,22709
232,12726241976,21648
233,13998866176,20752
234,15398752792,19437
235,16938628064,18707
236,18632490872,17429
237,20495739960,16621
238,22545313960,15593
239,24799845352,14891
240,27279829888,13923
241,30007812872,13132
242,33008594160,11935
243,36309453576,11304
244,39940398936,10655
245,43934438832,9923
246,48327882712,9124
247,53160670984,8547
248,58476738080,7854
249,64324411888,7115
250,70756853080,6574
251,77832538384,6050
252,85615792224,5530
253,94177371448,5145
254,103595108592,4508
255,113954619448,4220
256,125350081392,3823
257,137885089536,3623
258,151673598488,3195
259,166840958336,2828
260,183525054168,2559
261,201877559584,2298
262,222065315544,2051
263,244271847096,1847
264,268699031800,1642
265,295568934984,1504
266,325125828480,1296
267,357638411328,1189
268,393402252464,1001
269,432742477704,925
270,476016725480,814
271,523618398024,672
272,575980237832,636
273,633578261608,510
274,696936087768,501
275,766629696552,411
276,843292666200,340
277,927621932824,322
278,1020384126104,286
279,1122422538712,230
280,1234664792584,207
281,1358131271848,182
282,1493944399032,166
283,1643338838928,130
284,1807672722824,106
285,1988439995104,104
286,2187283994616,87
287,2406012394080,72
288,2646613633488,58
289,2911274996832,54
290,3202402496520,47
291,3522642746168,35
292,3874907020784,34
293,4262397722864,21
294,4688637495144,24
295,5157501244664,14
296,5673251369128,9
297,6240576506040,3
298,6864634156648,15
299,7551097572312,8
300,8306207329536,8
301,9136828062496,7
302,10050510868744,7
303,11055561955616,2
304,12161118151176,1
305,13377229966296,3
306,14714952962928,4
307,16186448259216,1
308,17805093085136,3
309,19585602393648,1
310,21544162633016,1
312,26068436785952,2
313,28675280464544,1
315,34697089362096,1
320,55880009388552,1
